Element,Mass,Abund,Label
Cd,110,12.5,Cd-110
Pd,110,11.7,Pd-110
Cd,111,12.8,Cd-111
Cd,112,24.1,Cd-112
In,113,4.3,In-113
Cd,113,12.2,Cd-113
Cd,114,28.7,Cd-114
In,115,95.7,In-115
Sn,116,14.7,Sn-116
Cd,116,7.5,Cd-116
Sb,117,7.7,Sb-117
Sn,118,24.3,Sn-118
Sn,119,8.6,Sn-119
Sn,120,32.4,Sn-120
Sb,121,57.3,Sb-121
Te,122,2.6,Te-122
Sn,122,4.6,Sn-122
Sb,123,42.7,Sb-123
Te,123,0.9,Te-123
Te,124,4.8,Te-124
Sn,124,5.6,Sn-124
Te,125,7.1,Te-125
Te,126,19,Te-126
I,127,100,I-127
Xe,128,1.9,Xe-128
Te,128,31.7,Te-128
Xe,129,26.4,Xe-129
Xe,130,4.1,Xe-130
Te,130,33.8,Te-130
Ba,130,0.1,Ba-130
Xe,131,21.2,Xe-131
Xe,132,26.9,Xe-132
Ba,132,0.1,Ba-132
Cs,133,100,Cs-133
Ba,134,2.4,Ba-134
Xe,134,10.4,Xe-134
Ba,135,6.6,Ba-135
Ba,136,7.9,Ba-136
Ce,136,0.2,Ce-136
Xe,136,8.9,Xe-136
Ba,137,11.2,Ba-137
Ba,138,71.7,Ba-138
Ce,138,0.3,Ce-138
La,138,0.1,La-138
La,139,99.9,La-139
Ce,140,88.5,Ce-140
Pr,141,100,Pr-141
Nd,142,27.1,Nd-142
Ce,142,11.1,Ce-142
Nd,143,12.2,Nd-143
Nd,144,23.8,Nd-144
Sm,144,3.1,Sm-144
Nd,145,8.3,Nd-145
Nd,146,17.2,Nd-146
Sm,147,15,Sm-147
Sm,148,11.3,Sm-148
Nd,148,5.8,Nd-148
Sm,149,13.8,Sm-149
Sm,150,7.4,Sm-150
Nd,150,5.6,Nd-150
Eu,151,47.8,Eu-151
Sm,152,25.7,Sm-152
Gd,152,0.2,Gd-152
Eu,153,52.2,Eu-153
Gd,154,2.2,Gd-154
Sm,154,22.7,Sm-154
Gd,155,14.8,Gd-155
Gd,156,20.5,Gd-156
Dy,156,0.1,Dy-156
Gd,157,15.7,Gd-157
Gd,158,24.8,Gd-158
Dy,158,0.1,Dy-158
Tb,159,100,Tb-159
Dy,160,2.3,Dy-160
Gd,160,21.9,Gd-160
Dy,161,18.9,Dy-161
Dy,162,25.5,Dy-162
Er,162,0.1,Er-162
Dy,163,24.9,Dy-163
Dy,164,28.2,Dy-164
Er,164,1.6,Er-164
Ho,165,100,Ho-165
Er,166,33.6,Er-166
Er,167,23,Er-167
Er,168,26.8,Er-168
Yb,168,0.1,Yb-168
Tm,169,100,Tm-169
Yb,170,3.1,Yb-170
Er,170,14.9,Er-170
Yb,171,14.3,Yb-171
Yb,172,21.9,Yb-172
Yb,173,16.1,Yb-173
Yb,174,31.8,Yb-174
Hf,174,0.2,Hf-174
Lu,175,97.4,Lu-175
Hf,176,5.2,Hf-176
Yb,176,12.7,Yb-176
Lu,176,2.6,Lu-176
Hf,177,18.6,Hf-177
Hf,178,27.1,Hf-178
Hf,179,13.7,Hf-179
Hf,180,35.2,Hf-180
W,180,0.1,W-180
Ta,180,0,Ta-180
Ta,181,100,Ta-181
W,182,26.3,W-182
W,183,14.3,W-183
W,184,30.7,W-184
Os,184,0,Os-184
Re,185,37.4,Re-185
Os,186,1.6,Os-186
W,186,23.6,W-186
Os,187,1.6,Os-187
Re,187,62.6,Re-187
Os,188,13.3,Os-188
Os,189,16.1,Os-189
Os,190,26.4,Os-190
Pt,190,0,Pt-190
Ir,191,37.3,Ir-191
Pt,192,0.8,Pt-192
Os,192,41,Os-192
Ir,193,62.7,Ir-193
Pt,194,32.9,Pt-194
Pt,195,33.8,Pt-195
Pt,196,25.3,Pt-196
Hg,196,0.2,Hg-196
Au,197,100,Au-197
Hg,198,10.1,Hg-198
Pt,198,7.2,Pt-198
Hg,199,17,Hg-199
Hg,200,23.1,Hg-200
Hg,201,13.2,Hg-201
Hg,202,29.7,Hg-202
Tl,203,29.5,Tl-203
Pb,204,1.4,Pb-204
Hg,204,6.8,Hg-204
Tl,205,70.5,Tl-205
Pb,206,24.1,Pb-206
Pb,207,22.1,Pb-207
Pb,208,52.4,Pb-208
Bi,209,100,Bi-209
Rn,219,33.3,Rn-219
Rn,220,33.3,Rn-220
Rn,222,33.3,Rn-222
Th,233,100,Th-233
U,234,0,U-234
U,235,0.7,U-235
U,238,99.3,U-238
Pu,239,33.3,Pu-239
Pu,240,33.3,Pu-240
Pu,241,33.3,Pu-241
